标题：装修9成新，带地下室，带前后花园	位置：水云间 -尚东	总价格：400万	单价:19,719元/平
标题：佳兆业时代广场 3室2厅 南 西	位置：佳兆业时代广场 -马王堆	总价格：120万	单价:13,035元/平
标题：世纪城近地铁配套北雅清水塘诚心出售	位置：世纪城达江苑 -湘江世纪城	总价格：125万	单价:12,652元/平
标题：树木岭 城轨+地铁 2018年的房子 精装两房 满五唯一	位置：叠彩兰亭 -树木岭	总价格：72万	单价:11,188元/平
标题：中国铁建国际城  紧凑小三房  带全套家电家具	位置：中国铁建国际城 -泉塘	总价格：66.8万	单价:7,903元/平
标题：湖南省唯一，业主诚心诚信，四房，干净整洁	位置：万科魅力之城 -武广新城	总价格：182万	单价:14,459元/平
标题：二楼 户型好小三房 采光佳 拎包入住满五唯一	位置：杏花苑 -书院路	总价格：56.8万	单价:6,885元/平
标题：可看江 三阳台 楼层中层 清水塘北雅 不临马路闹中取静	位置：世纪城融江苑 -湘江世纪城	总价格：131万	单价:11,149元/平
标题：建工新城 4室2厅 南	位置：建工新城 -新开铺	总价格：182.5万	单价:12,008元/平
标题：轻奢舒适南向二房 设计师高品质装修 全屋暖气户型周正	位置：君悦香邸 -北辰三角洲	总价格：115万	单价:13,876元/平
标题：满五唯一业主急卖，南向看花园，采光充足，宜居好房	位置：合能璞丽 -梅溪湖北岸	总价格：163.8万	单价:17,506元/平
标题：中央美郡 公园旁地铁口  满五唯一 南北通透	位置：中央美郡 -金星中路	总价格：193.8万	单价:14,026元/平
标题：3+1户型，自住精装修，砂子塘东澜湾，2号线长沙大道。	位置：嘉宇中央 -武广新城	总价格：150万	单价:12,309元/平
标题：星语林汀湘十里 3室2厅 南	位置：星语林汀湘十里 -含浦	总价格：90万	单价:8,773元/平
标题：改善型4房，房子空间大，南北通透，保养新。	位置：恒大名都 -金星北	总价格：135万	单价:8,364元/平
标题：友谊路地铁 全新精装三房 低总价 电梯	位置：和庄 -新开铺	总价格：83.8万	单价:8,757元/平
标题：恒广国际景园 2室2厅 南	位置：恒广国际景园 -中南汽车世界	总价格：76.8万	单价:8,581元/平
标题：金房奥斯卡西区 3室2厅 南	位置：金房奥斯卡西区 -省政府	总价格：115万	单价:10,731元/平
标题：恒大名都 通透大三房 楼层好 视野开阔 随时看房	位置：恒大名都 -金星北	总价格：102.8万	单价:7,516元/平
标题：兰亭湾畔 95平 三家一户型 122万 满五唯一 看房方便	位置：兰亭湾畔小区一期 -洋湖垸	总价格：122.8万	单价:12,852元/平
标题：湘水湾 精装修两房 拎包入住 视野很好 采光不错	位置：博雅湘水湾 -泉塘	总价格：56万	单价:6,368元/平
标题：佛奥康桥水岸 毛坯小三房 随时看房  视野好	位置：佛奥康桥水岸 -暮云	总价格：52万	单价:5,984元/平
标题：居家好房 地铁口 楼层好 房东急卖，小区停车不要钱	位置：鹏基诺亚山林 -开元路	总价格：98万	单价:7,814元/平
标题：星沙的JDB圈 地铁口  刚需必备	位置：深业睿城 -开元路	总价格：84万	单价:9,251元/平
标题：世纪城达江苑精装一房改了两房楼层好拎包入住	位置：世纪城达江苑 -湘江世纪城	总价格：76万	单价:12,261元/平
标题：湘府英才，地铁口200米，南北对流小三房 位置安静	位置：绿地公馆 -省政府	总价格：105万	单价:11,116元/平
标题：时代倾城 3室1厅 南	位置：时代倾城 -金星北	总价格：103万	单价:10,074元/平
标题：出小区门就是校园，读书方便，格局好	位置：汇金城二期 -汽车南站	总价格：109.8万	单价:10,262元/平
标题：业主诚心急售，三房两厅，东边户，自住精装修随时看	位置：五矿哈佛小镇 -暮云	总价格：92万	单价:8,883元/平
标题：网红地中贸城旁，满五唯一，业主急售	位置：明城公寓 -泉塘	总价格：47.8万	单价:5,569元/平
标题：省府央企大盘，一号线地铁口，精装大三房带车位。	位置：中建芙蓉嘉苑 -省政府	总价格：150万	单价:12,549元/平
标题：永祺西京新上2+1户型 带小露台 满五唯一省个税	位置：永祺西京 -河西步步高	总价格：108万	单价:12,991元/平
标题：南北通 双阳台 中间楼层 空气对流 采光好的没话说	位置：佳美紫郡 -泉塘	总价格：81.8万	单价:7,412元/平
标题：万科城小三居，居家配置，从未出租，产权在手随时交易	位置：万科城二期B区 -福元西路	总价格：115万	单价:13,121元/平
标题：大三房，低楼层，家具家电齐全，居家装修保养好	位置：中国铁建国际城 -泉塘	总价格：77万	单价:7,796元/平
标题：伍家岭南 湘雅附一 富兴国际 产权在手	位置：天健芙蓉盛世 -伍家岭	总价格：100万	单价:10,941元/平
标题：装修好的的两房带家具电器低价出售	位置：新雅黄金苑 -望城区	总价格：54.7万	单价:6,481元/平
标题：满五唯一 2楼 地铁口单位三房 全新装修随时看房	位置：牛角塘小区 -东塘	总价格：71.5万	单价:9,562元/平
标题：次新房  户型南北格局 采光性好，房东诚心出售	位置：江山帝景哈佛 -含浦	总价格：132.99万	单价:10,406元/平
标题：2号线地铁艺术站 小高层 四房毛坯 视野好	位置：振业城 -梅溪湖北岸	总价格：237万	单价:18,764元/平
标题：丽发新城居家精装修3房9成新家具电器齐全拎包入住	位置：丽发新城 -跳马	总价格：97万	单价:8,547元/平
标题：带阳台 楼层视野开阔 1梯2户，拎包入住	位置：永宏佳园 -书院路	总价格：112.8万	单价:10,387元/平
标题：五矿万境蓝山洋房 免个税 花园洋房，高档社区景观好房	位置：五矿万境蓝山 -省政府	总价格：175万	单价:12,746元/平
标题：8层电梯洋房  带40平露台 7米层高  业主现在急售	位置：格兰小镇 -暮云	总价格：208万	单价:10,778元/平
标题：湘江北尚 娄王栋 边户 地铁釦 192一口价包含一个车位	位置：湘江北尚 -北辰三角洲	总价格：192万	单价:12,281元/平
标题：满五唯一，单价4100，带价值5万车位，电梯5楼大平层	位置：南郡明珠 -暮云	总价格：68万	单价:4,001元/平
标题：中意路 南郡明珠 精装三房 诚心出售。	位置：南郡明珠 -暮云	总价格：58万	单价:4,947元/平
标题：望江苑，户型周正，中间楼层，有钥匙，随时看	位置：世纪城望江苑 -湘江世纪城	总价格：180万	单价:13,348元/平
标题：大唐印象，小高层一号线大托旁边，省个税60平露台	位置：大唐印象 -省政府	总价格：175.8万	单价:10,961元/平
标题：地铁口少有复式楼带露台，九成新精装修，可看江景！	位置：顺天黄金海岸 -开福区政府	总价格：258万	单价:10,636元/平
标题：世纪城近地铁近北雅价格优质诚心出售	位置：世纪城贯江苑 -湘江世纪城	总价格：142万	单价:11,581元/平
标题：河景大平层 视野开阔 带拐角大阳台 需要置换交易	位置：阳光城尚东湾 -武广新城	总价格：203万	单价:10,805元/平
标题：凯富漫城 精装 装修只有两年，装修新 可拎包入住	位置：凯富漫城 -暮云	总价格：95万	单价:6,878元/平
标题：高铁西板块  楼层好  全无遮挡  视野开阔	位置：中粮自然天城 -望城区	总价格：106万	单价:7,541元/平
标题：东塘地铁口 正规四房 户型周正 价格可谈	位置：福乐名园 -左家塘	总价格：135万	单价:7,505元/平
标题：6号线地铁口 山水英伦边户别墅精装出售	位置：山水英伦庄园 -雷锋镇	总价格：283万	单价:13,873元/平
标题：5号线土桥地铁 满五唯一 清水毛坯 诚心出售	位置：山水湾 -万家丽北	总价格：62.5万	单价:6,972元/平
标题：芙蓉南路 山水印象 精装3房 看房方便 诚心出售	位置：山水印象 -暮云	总价格：58.8万	单价:5,026元/平
标题：湘江壹号3+1户型， 依山傍水，优雅宜居，视野开阔	位置：湘江壹号三期 -金霞	总价格：267万	单价:12,833元/平
标题：工作调动 全屋地暖 品牌家电 南北通透无遮挡 阳光充足	位置：学府华庭 -广电	总价格：160万	单价:8,969元/平
标题：1T1户南北，国企单位房，溪悦荟喜盈门，200平小洋房	位置：联通瑞丽园 -武广新城	总价格：167万	单价:8,001元/平
标题：次新小区，精装修大四房，满五唯一，拎包可住！	位置：北辰中央公园 -省政府	总价格：155万	单价:11,706元/平
标题：洋房小区  地铁100米  毛坯大四房包地暖包新风包厨房	位置：大唐印象 -省政府	总价格：175万	单价:10,960元/平
标题：原始毛坯 大四房 视野开阔 出价即谈 急售 户型方正	位置：沁园春御院 -河西步步高	总价格：212万	单价:15,001元/平
标题：威尔士春天， 保养好，精装修小三房	位置：威尔士春天 -月湖	总价格：102万	单价:11,290元/平
标题：正地铁口 花园洋房四楼带一个大露台 砖家墙裂推荐	位置：美林水郡 -中南汽车世界	总价格：105.8万	单价:7,320元/平
标题：金星北 珠江东方明珠三期 中间楼层精装四房 采光好	位置：珠江东方明珠 -金星北	总价格：110万	单价:8,140元/平
标题：业主诚心出售标准顶楼复式，清水毛坯	位置：岳麓区检察院宿舍 -滨江新城	总价格：180万	单价:8,207元/平
标题：芙蓉区建设银行单位房独栋别墅出售	位置：馨苑 -汽车东站	总价格：398万	单价:15,444元/平
标题：长郡芙蓉旁 精装联排别墅 价格优惠 房东诚心出售	位置：馨苑 -汽车东站	总价格：296万	单价:13,721元/平
标题：好房出售 客厅朝南三面采光 带三阳台随时看房	位置：美世界园林公寓 -月湖	总价格：108万	单价:9,720元/平
标题：双地铁，位处五一广场商圈地带，配套成熟，交通便利。	位置：新大新大厦 -松桂园	总价格：99.8万	单价:7,148元/平
